f k11 k12 k13 k14 k21 k22 k23 k24
   1.5915494309189536e-03   4.8645786423065641e+04   4.8646106604488246e+04   2.4011480045798671e+03   2.4768122183906153e+03   3.4379912258886055e+04   3.4381188939243882e+04   5.0726496255755910e+02   5.5929397104017971e+02
   1.7191467660085257e-03   4.8594560912945461e+04   4.8594880722404079e+04   2.3993772300518635e+03   2.4748952159734667e+03   3.4343654777495351e+04   3.4344930163385339e+04   5.0680667216979958e+02   5.5878292433520107e+02
   1.8569738053131647e-03   4.8534996548886127e+04   4.8535315925783856e+04   2.3973188132584391e+03   2.4726667456738342e+03   3.4301494978858391e+04   3.4302768859624121e+04   5.0627385765920843e+02   5.5818876851805771e+02
   2.0058506823274658e-03   4.8465774684558426e+04   4.8466093558699315e+04   2.3949274892644571e+03   2.4700777673479793e+03   3.4252499489367467e+04   3.4253771621064538e+04   5.0565476289832719e+02   5.5749839099497922e+02
   2.1666632821000071e-03   4.8385381809472739e+04   4.8385700099637390e+04   2.3921513836352201e+03   2.4670720708047975e+03   3.4195596996690147e+04   3.4196867097175906e+04   5.0493590483885743e+02   5.5669675219983958e+02
   2.3403685126518218e-03   4.8292085545940339e+04   4.8292403158283676e+04   2.3889312279411361e+03   2.4635854213148637e+03   3.4129561255469453e+04   3.4130828998890931e+04   5.0410186467910177e+02   5.5576665227172566e+02
   2.5279999990138208e-03   4.8183909402457779e+04   4.8184226228718857e+04   2.3851995471952291e+03   2.4595446730495391e+03   3.4052993211166642e+04   3.4054258221817072e+04   5.0313506987763054e+02   5.5468848737595033e+02
   2.7306742337652704e-03   4.8058606904753266e+04   4.8058922820270804e+04   2.3808798451309572e+03   2.4548668780169401e+03   3.3964302681250170e+04   3.3965564526780836e+04   5.0201557317045706e+02   5.5344000248992552e+02
   2.9495972206718276e-03   4.7913636040706282e+04   4.7913950902241108e+04   2.3758858251885795e+03   2.4494584309064007e+03   3.3861690255740396e+04   3.3862948439738379e+04   5.0072083772043879e+02   5.5199605077777142e+02
   3.1860716509557957e-03   4.7746135355969949e+04   4.7746448999342370e+04   2.3701207001244989e+03   2.4432143064347583e+03   3.3743130362515309e+04   3.3744384316492651e+04   4.9922554128903852e+02   5.5032837385944299e+02
   3.4415046549006747e-03   4.7552903530504052e+04   4.7553215768069720e+04   2.3634766614651148e+03   2.4360174655098908e+03   3.3606356791820697e+04   3.3607605866707396e+04   4.9750141693010556e+02   5.4840542240699563e+02
   3.7174161749155667e-03   4.7330384851258757e+04   4.7330695469260281e+04   2.3558346014202339e+03   2.4277385296228717e+03   3.3448852388318846e+04   3.3450095845615127e+04   4.9551715314026046e+02   5.4619224254819608e+02
   4.0154480098829647e-03   4.7074663657596197e+04   4.7074972413451527e+04   2.3470642035891005e+03   2.4182358485616960e+03   3.3267845086923851e+04   3.3269082089745556e+04   4.9323838250001620e+02   5.4365046034894965e+02
   4.3373735846079405e-03   4.6781471536307523e+04   4.6781778155920649e+04   2.3370245431804524e+03   2.4073561130689895e+03   3.3060312964161269e+04   3.3061542568509671e+04   4.9062779423082060e+02   5.4073840376823784e+02
   4.6851085025013334e-03   4.6446211713520686e+04   4.6446515888732494e+04   2.3255653596241541e+03   2.3949356883751875e+03   3.2823001451237797e+04   3.2824222597939406e+04   4.8764541210235808e+02   5.3741140818646738e+02
   5.0607219442902543e-03   4.6064005621911652e+04   4.6064307008242926e+04   2.3125291798786261e+03   2.3808028618542726e+03   3.2552456230972424e+04   3.2553667738861877e+04   4.8424908369025644e+02   5.3362235672365671e+02
   5.4664489805833780e-03   4.5629766856316943e+04   4.5630065071191944e+04   2.2977544731118514e+03   2.3647812016378116e+03   3.2245075507103469e+04   3.2246276068156170e+04   4.8039522859509600e+02   5.2932250841060556e+02
   5.9047038715563886e-03   4.5138307464568308e+04   4.5138602086243380e+04   2.2810799986762795e+03   2.3466942042550104e+03   3.1897185146573851e+04   3.1898373323821459e+04   4.7603988993314402e+02   5.2446266368293925e+02
   6.3780944328967627e-03   4.4584480514516661e+04   4.4584771081965489e+04   2.2623504601921131e+03   2.3263713583544286e+03   3.1505139484422798e+04   3.1506313713584757e+04   4.7114012293113501e+02   5.1899470511742174e+02
   6.8894375534917394e-03   4.3963360893692028e+04   4.3963646907714094e+04   2.2414234901855020e+03   2.3036556586759921e+03   3.1065449177740895e+04   3.1066607773553515e+04   4.6565573455272892e+02   5.1287352932204078e+02
   7.4417759571968603e-03   4.3270463154664103e+04   4.3270744080476317e+04   2.2181778559574182e+03   2.2784124629164071e+03   3.0574935272282117e+04   3.0576076440475925e+04   4.5955135709673061e+02   5.0605935158018445e+02
   8.0383963084250994e-03   4.2501990880478312e+04   4.2502266152012555e+04   2.1925225982792617e+03   2.2505393937408762e+03   3.0030905576946709e+04   3.0032027432676812e+04   4.5279879638896062e+02   4.9852031794845158e+02
   8.6828487692931708e-03   4.1655106716928451e+04   4.1655375742983153e+04   2.1644066004085389e+03   2.2199767594683281e+03   2.9431345673362106e+04   2.9432446266617040e+04   4.4537954364968704e+02   4.9023530234186478e+02
   9.3789681246988516e-03   4.0728206437156608e+04   4.0728468609437172e+04   2.1338278595786119e+03   2.1867177247380837e+03   2.8775112798748185e+04   2.8776190146831646e+04   4.3728728463734666e+02   4.8119670455073407e+02
   1.0130896601033149e-02   3.9721175063910669e+04   3.9721429766841364e+04   2.1008415347432128e+03   2.1508172469660626e+03   2.8062117062984260e+04   2.8063169189598688e+04   4.2853018897448976e+02   4.7141300878483685e+02
