f k11 k12 k13 k14 k21 k22 k23 k24
   1.5915494309189536e-03   1.4339604777784494e+00   2.2376336488496511e+00   1.1942345752306512e+02   1.2008501945203118e+02   2.7113571996250503e+01   2.6231175585520493e+01   7.8724742898896380e+01   7.7710675095738949e+01
   1.7258220403758289e-03   1.4502031272977987e+00   2.2497408810175381e+00   1.1938941734162029e+02   1.2005084456643029e+02   2.7110671275218110e+01   2.6228197857452273e+01   7.8703850503071280e+01   7.7689951436995997e+01
   1.8714226885980156e-03   1.4690486627274895e+00   2.2638764417107438e+00   1.1934942778672477e+02   1.2001069677794572e+02   2.7107263995258958e+01   2.6224700129977318e+01   7.8679307081234370e+01   7.7665606212930271e+01
   2.0293070765493009e-03   1.4908713029467338e+00   2.2803611327924771e+00   1.1930245657485405e+02   1.1996353972557843e+02   2.7103262420496254e+01   2.6220592342217060e+01   7.8650479308266398e+01   7.7637011198604853e+01
   2.2005115338310640e-03   1.5160860396442488e+00   2.2995599543884628e+00   1.1924729516629870e+02   1.1990816009790885e+02   2.7098563894750104e+01   2.6215769118739797e+01   7.8616625787343736e+01   7.7603430963775182e+01
   2.3861598209953820e-03   1.5451494787809510e+00   2.3218860281458347e+00   1.1918252975475924e+02   1.1984313850918277e+02   2.7093048408732212e+01   2.6210107272931761e+01   7.8576879287141622e+01   7.7564005250988842e+01
   2.5874705057418843e-03   1.5785597346994023e+00   2.3478041586209142e+00   1.1910650789465974e+02   1.1976681599634907e+02   2.7086575810355001e+01   2.6203462944315753e+01   7.8530226317912408e+01   7.7517728713074362e+01
   2.8057649614145947e-03   1.6168552115081247e+00   2.3778337606396662e+00   1.1901730026965235e+02   1.1967725563873115e+02   2.7078982621230708e+01   2.6195668332036441e+01   7.8475483747707273e+01   7.7463427713340906e+01
   3.0424760402997025e-03   1.6606121469231929e+00   2.4125508276062653e+00   1.1891265711454261e+02   1.1957219881088695e+02   2.7070078425036940e+01   2.6186527989452824e+01   7.8411272167540204e+01   7.7399733899147506e+01
   3.2991574786545171e-03   1.7104408492123131e+00   2.4525885711351001e+00   1.1878995884549805e+02   1.1944901562208238e+02   2.7059641799492862e+01   2.6175814651078557e+01   7.8335985743324713e+01   7.7325054288134240e+01
   3.5774940952007770e-03   1.7669806197837912e+00   2.4986363337014632e+00   1.1864616054557179e+02   1.1930464918846394e+02   2.7047415774708892e+01   2.6163264574525275e+01   7.8247758352807281e+01   7.7237537666077685e+01
   3.8793128500237521e-03   1.8308934093846734e+00   2.5514363709218455e+00   1.1847773011503696e+02   1.1913555354726552e+02   2.7033102818572800e+01   2.6148572398623418e+01   7.8144425910455070e+01   7.7135037198935692e+01
   4.2065948364660589e-03   1.9028562895861574e+00   2.6117781244188238e+00   1.1828058015544957e+02   1.1893762528302726e+02   2.7016359377046911e+01   2.6131385547038022e+01   7.8023484949045411e+01   7.7015069325700907e+01
   4.5614882847292287e-03   1.9835528192702145e+00   2.6804896617328642e+00   1.1804999404615772e+02   1.1870612932739425e+02   2.6996790036753357e+01   2.6111298247540763e+01   7.7882047774400831e+01   7.6874769243895585e+01
   4.9463226625367212e-03   2.0736633396997410e+00   2.7584260420628031e+00   1.1778054723250780e+02   1.1843561995712477e+02   2.6973941432486615e+01   2.6087845294250442e+01   7.7716794864493210e+01   7.6710843650828380e+01
   5.3636239654130018e-03   2.1738541419889921e+00   2.8464544645716110e+00   1.1746602552275256e+02   1.1811985879614865e+02   2.6947296097126355e+01   2.6060495757568283e+01   7.7523925674882634e+01   7.6519521889751559e+01
   5.8161312969418795e-03   2.2847653285731928e+00   2.9454361530786271e+00   1.1709934323552987e+02   1.1775173267697264e+02   2.6916266549582438e+01   2.6028646948144328e+01   7.7299109670040082e+01   7.6296507301418075e+01
   6.3068148478343401e-03   2.4069970565766474e+00   3.0562050095831879e+00   1.1667246539936936e+02   1.1732317558221109e+02   2.6880190040883225e+01   2.5991619070181489e+01   7.7037440253729898e+01   7.6036931427222200e+01
   6.8388953918178978e-03   2.5410937336323713e+00   3.1795431170544921e+00   1.1617633991501980e+02   1.1682510060368313e+02   2.6838324530346377e+01   2.5948651156898276e+01   7.6733395342295950e+01   7.5735314770995515e+01
   7.4158654263155313e-03   2.6875256666083152e+00   3.3161531896162941e+00   1.1560084765649157e+02   1.1624734993031497e+02   2.6789846640186820e+01   2.5898899064360876e+01   7.6380809614750248e+01   7.5385539105063984e+01
   8.0415120966784263e-03   2.8466676714162551e+00   3.4666280736982005e+00   1.1493478086011297e+02   1.1557867325929860e+02   2.6733852528792749e+01   2.5841436499969415e+01   7.5972864951255815e+01   7.4980837771043426e+01
   8.7199420544439212e-03   3.0187742655772123e+00   3.6314174335748786e+00   1.1416586269878843e+02   1.1480674758302776e+02   2.6669362811415255e+01   2.5775260259540069e+01   7.5502107150269140e+01   7.4513811991447255e+01
   9.4556084127843526e-03   3.2039513083075168e+00   3.8107918594709353e+00   1.1328082340057735e+02   1.1391825377554734e+02   2.6595332809914630e+01   2.5699301009225277e+01   7.4960498527411644e+01   7.3976482709484159e+01
   1.0253339976078529e-02   3.4021243432229022e+00   4.0048048701624559e+00   1.1226555021806945e+02   1.1289902735593188e+02   2.6510669481398757e+01   2.5612441025163029e+01   7.4339517172915620e+01   7.3360388641178531e+01
   1.1118372935464306e-02   3.6130044436605360e+00   4.2132536881206475e+00   1.1110532936022562e+02   1.1173430161155697e+02   2.6414256291704117e+01   2.5513540225451866e+01   7.3630314080688066e+01   7.2656741661740355e+01
